statisticalID,name,partOf,code,physicalType
oEBf29y8JP8,AMBOHIDRATRIMO,Location/AWn3s2RqgAN,ADMIN_STRUCTURE,Jurisdiction
HPGiE9Jjh2r,ANDRAMASINA,Location/AWn3s2RqgAN,ADMIN_STRUCTURE,Jurisdiction
BxrIbNW7f3K,ANJOZOROBE,Location/AWn3s2RqgAN,ADMIN_STRUCTURE,Jurisdiction
SQT8xjbvWwf,ANKAZOBE,Location/AWn3s2RqgAN,ADMIN_STRUCTURE,Jurisdiction
ntoX1PkiWri,BEMASOANDRO,Location/AWn3s2RqgAN,ADMIN_STRUCTURE,Jurisdiction
SvFNQpplnch,SABOTSY NAMEHANA,Location/AWn3s2RqgAN,ADMIN_STRUCTURE,Jurisdiction
NLjvK1QsrN3,ANTANANARIVO I,Location/AWn3s2RqgAN,ADMIN_STRUCTURE,Jurisdiction
hywxVKv48Xp,MANJAKANDRIANA,Location/AWn3s2RqgAN,ADMIN_STRUCTURE,Jurisdiction
QTtxiWj8ONP,FENOARIVOBE,Location/AWn3s2RqgAN,ADMIN_STRUCTURE,Jurisdiction
Oapn6R4rt3D,TSIROANOMANDIDY,Location/AWn3s2RqgAN,ADMIN_STRUCTURE,Jurisdiction
idR0pJWLqcR,ARIVONIMAMO I,Location/AWn3s2RqgAN,ADMIN_STRUCTURE,Jurisdiction
jCJxK8sFH40,MIARINARIVO,Location/AWn3s2RqgAN,ADMIN_STRUCTURE,Jurisdiction
ydyJb1RAy4U,SOAVINANDRIANA,Location/AWn3s2RqgAN,ADMIN_STRUCTURE,Jurisdiction
nO68NTtcdw2,ANTANANARIVO ANTSIMONDRANO AMBONIVOHITRA,Location/AWn3s2RqgAN,ADMIN_STRUCTURE,Jurisdiction
FuvOOwvBw0p,ANTANANARIVO AVARADRANO,Location/AWn3s2RqgAN,ADMIN_STRUCTURE,Jurisdiction
R22tRIhdm5Y,ANTSIRABE I,Location/AWn3s2RqgAN,ADMIN_STRUCTURE,Jurisdiction
